trip_id,driver_id,user_id,pickup_location_id,dropoff_location_id,pickup_time,dropoff_time,distance_km,duration_minutes,base_fare,surge_multiplier,trip_status,payment_method,payment_status
TRP-002419,DRV-00119,USR-000761,LOC-034,LOC-030,2024-03-10 11:31:30,2024-03-10 12:51:30,18.16,80,42500.0,1.0,Completed,GoPay,Success
TRP-005664,DRV-00048,USR-000775,LOC-033,LOC-032,2024-06-14 06:57:49,2024-06-14 07:54:49,20.1,57,40000.0,1.0,Completed,GoPay,Success
TRP-001222,DRV-00222,USR-001289,LOC-028,LOC-039,2024-10-12 17:38:10,2024-10-12 17:48:10,2.19,10,15000.0,1.5,Completed,Cash,Success
TRP-000434,DRV-00246,USR-000600,LOC-042,LOC-042,2024-05-08 06:31:45,2024-05-08 07:54:45,22.32,83,119000.0,1.0,Completed,Credit Card,Success
TRP-002668,DRV-00475,USR-000547,LOC-013,LOC-014,2024-04-06 08:08:51,2024-04-06 09:04:51,9.71,56,36500.0,1.0,Completed,GoPay,Success
TRP-007255,DRV-00054,USR-000663,LOC-037,LOC-036,2024-11-30 08:50:42,2024-11-30 10:19:42,25.7,89,101000.0,1.5,Failed,GoPay,Success
TRP-009877,DRV-00248,USR-000872,LOC-023,LOC-022,2024-12-17 11:54:52,2024-12-17 13:12:52,28.57,78,146000.0,1.0,Completed,Credit Card,Success
TRP-006711,DRV-00223,USR-000757,LOC-020,LOC-021,2024-10-09 09:46:23,2024-10-09 10:04:23,,18,27500.0,1.5,Cancelled,GoPay,Success
TRP-001168,DRV-00020,USR-000022,LOC-006,LOC-007,2024-02-26 16:53:53,2024-02-26 17:08:53,,15,9500.0,1.0,Completed,GoPay,Failed
TRP-003627,DRV-00488,USR-001203,LOC-001,LOC-011,2024-08-21 08:19:29,2024-08-21 08:47:29,5.48,28,12500.0,1.0,Cancelled,Cash,Success
TRP-000771,DRV-00306,USR-000438,LOC-035,LOC-038,2024-06-19 20:16:46,2024-06-19 21:10:46,9.23,54,34500.0,1.5,Completed,GoPay,Success
TRP-005632,DRV-00028,USR-001597,LOC-026,LOC-034,2024-01-24 18:38:45,2024-01-24 20:36:45,24.26,118,63000.0,1.5,Completed,GoPay,Success
TRP-008053,DRV-00126,USR-000910,LOC-039,LOC-039,2024-08-06 17:25:07,2024-08-06 18:18:07,9.76,53,20000.0,2.0,Completed,Cash,Success
TRP-008077,DRV-00355,USR-001146,LOC-024,LOC-022,2024-01-14 19:40:49,2024-01-14 20:49:49,20.48,69,72000.0,1.0,Completed,GoPay,Success
TRP-004532,DRV-00402,USR-001111,LOC-009,LOC-004,2024-08-30 07:57:52,2024-08-30 08:05:52,2.39,8,9000.0,1.2,Completed,GoPay,Success
TRP-008941,DRV-00144,USR-000526,LOC-001,LOC-004,2024-10-28 23:55:39,2024-10-29 00:08:39,2.99,13,15500.0,1.0,Completed,Cash,Success
TRP-008779,DRV-00192,USR-000262,LOC-045,LOC-042,2024-07-13 09:14:11,2024-07-13 09:53:11,12.72,39,30000.0,1.2,Completed,GoPay,Success
TRP-002344,DRV-00405,USR-001334,LOC-032,LOC-030,2024-06-12 21:30:57,2024-06-12 22:45:57,20.11,75,,1.0,Completed,Cash,Success
TRP-004614,DRV-00214,USR-001424,LOC-017,LOC-014,2024-09-30 10:15:04,2024-09-30 10:43:04,7.14,28,24000.0,1.0,Completed,GoPay,Success
TRP-009554,DRV-00441,USR-001060,LOC-019,LOC-020,2024-12-26 09:09:21,2024-12-26 10:24:21,23.04,75,72500.0,1.0,Completed,GoPay,Success
TRP-004946,DRV-00413,USR-000129,LOC-013,LOC-014,2024-03-21 19:45:56,2024-03-21 21:10:56,19.66,85,103000.0,1.0,Completed,GoPay,Success
TRP-001219,DRV-00280,USR-001402,LOC-020,LOC-023,2024-01-13 15:25:49,2024-01-13 15:57:49,5.65,32,19500.0,1.0,Completed,Cash,Success
TRP-008632,DRV-00415,USR-000487,LOC-018,LOC-014,2024-10-22 20:39:59,2024-10-22 21:18:59,12.44,39,51000.0,1.5,Completed,GoPay,Success
TRP-003477,DRV-00387,USR-000820,LOC-008,LOC-005,2024-01-07 01:29:13,2024-01-07 02:12:13,,43,69000.0,1.2,Completed,GoPay,Success
TRP-007534,DRV-00410,USR-000257,LOC-019,LOC-024,2024-03-07 19:59:10,2024-03-07 21:30:10,20.78,91,110500.0,1.0,Completed,GoPay,Failed
TRP-004639,DRV-00081,USR-001779,LOC-016,LOC-014,2024-02-29 19:40:55,2024-02-29 21:38:55,22.37,118,55500.0,1.0,Completed,Credit Card,Success
TRP-000809,DRV-00236,USR-000456,LOC-029,LOC-026,2024-06-29 12:11:40,2024-06-29 12:58:40,8.15,47,27500.0,1.2,Completed,Cash,Success
TRP-008424,DRV-00224,USR-001629,LOC-006,LOC-001,2024-04-14 10:18:26,2024-04-14 11:54:26,20.5,96,82000.0,1.0,Completed,GoPay,Success
TRP-008196,DRV-00206,USR-000347,LOC-028,LOC-028,2024-07-04 09:22:47,2024-07-04 09:39:47,3.39,17,11000.0,2.5,Cancelled,GoPay,Success
TRP-001545,DRV-00274,USR-001193,LOC-006,LOC-006,2024-08-27 09:20:09,2024-08-27 09:43:09,,23,21500.0,1.2,Completed,Cash,Success
TRP-002379,DRV-00453,USR-001509,LOC-006,LOC-011,2024-02-13 20:50:19,2024-02-13 21:29:19,11.47,39,52500.0,1.0,Completed,Cash,Success
TRP-008208,DRV-00095,USR-001457,LOC-016,LOC-018,2024-09-24 04:59:34,2024-09-24 06:30:34,,91,123500.0,1.0,Completed,Credit Card,Success
TRP-008650,DRV-00304,USR-001663,LOC-016,LOC-014,2024-10-29 07:16:42,2024-10-29 08:40:42,15.32,84,66500.0,1.2,Completed,GoPay,Success
TRP-009312,DRV-00480,USR-000337,LOC-007,LOC-005,2024-06-10 08:06:26,2024-06-10 08:53:26,17.86,47,90000.0,1.5,Completed,GoPay,Success
TRP-006722,DRV-00452,USR-001039,LOC-026,LOC-025,2024-10-09 11:27:29,2024-10-09 12:17:29,16.01,50,85500.0,1.5,Completed,GoPay,Success
TRP-007336,DRV-00500,USR-001998,LOC-025,LOC-025,2024-09-18 02:09:03,2024-09-18 03:58:03,21.16,109,75000.0,1.5,Completed,GoPay,Success
TRP-003193,DRV-00369,USR-000982,LOC-034,LOC-032,2024-03-04 12:47:06,2024-03-04 13:22:06,9.46,35,34000.0,1.0,Completed,Cash,Success
TRP-005913,DRV-00369,USR-001407,LOC-032,LOC-034,2024-12-09 21:45:12,2024-12-09 22:57:12,14.61,72,64000.0,1.0,Completed,GoPay,Success
TRP-003058,DRV-00142,USR-000408,LOC-035,LOC-036,2024-08-09 12:08:37,2024-08-09 12:47:37,7.4,39,24500.0,1.2,Completed,Cash,Success
TRP-004122,DRV-00014,USR-000104,LOC-005,LOC-011,2024-03-20 21:43:54,2024-03-21 00:17:54,28.59,154,80500.0,1.5,Completed,GoPay,Failed
TRP-006468,DRV-00153,USR-001061,LOC-028,LOC-027,2024-04-02 15:51:40,2024-04-02 16:53:40,19.83,62,45500.0,1.2,Completed,GoPay,Success
TRP-008980,DRV-00145,USR-001703,LOC-027,LOC-028,2024-07-09 13:56:30,2024-07-09 14:12:30,5.52,16,18000.0,1.0,Completed,Cash,Success
TRP-002680,DRV-00125,USR-000796,LOC-030,LOC-032,2024-12-16 07:54:02,2024-12-16 08:21:02,7.96,27,39500.0,1.5,Cancelled,Cash,Success
TRP-006707,DRV-00361,USR-001244,LOC-010,LOC-009,2024-07-06 08:50:28,2024-07-06 10:20:28,23.0,90,68500.0,1.2,Completed,GoPay,Success
TRP-002469,DRV-00140,USR-000529,LOC-020,LOC-022,2024-05-13 15:37:56,2024-05-13 16:21:56,8.64,44,39000.0,1.2,Completed,Cash,Success
TRP-004770,DRV-00244,USR-000491,LOC-027,LOC-028,2024-11-21 08:14:08,2024-11-21 08:46:08,9.1,32,33500.0,1.2,Completed,GoPay,Failed
