raw_trip_id,trip_id,driver_id,user_id,pickup_location_id,dropoff_location_id,pickup_time,dropoff_time,distance_km,duration_minutes,base_fare,surge_multiplier,total_fare,trip_status,payment_method,payment_status
11,TRP-000011,DRV-00497,USR-01625,LOC-0050,LOC-0006,2024-01-25 15:14:17,2024-01-25 15:44:17,6.69,30,32447.58,1.5,48671.37,Completed,Cash,Pending
12,TRP-000012,DRV-00416,USR-00825,LOC-0014,LOC-0011,2024-03-14 20:16:03,2024-03-14 21:45:03,25.86,89,118284.87,1.5,177427.3,Completed,Credit Card,Success
13,TRP-000013,DRV-00022,USR-00075,LOC-0029,LOC-0013,2024-01-02 10:41:20,2024-01-02 12:04:20,,83,148272.74,2.0,296545.48,Completed,Cash,Success
14,TRP-000014,DRV-00304,USR-00279,LOC-0031,LOC-0033,2024-08-02 23:47:12,2024-08-03 01:07:12,29.31,80,57698.47,1.25,72123.09,Completed,Credit Card,Success
15,TRP-000015,DRV-00071,USR-01426,LOC-0017,LOC-0054,2024-05-27 09:57:10,2024-05-27 10:26:10,11.95,29,128963.18,2.5,322407.95,Failed,Cash,Success
16,TRP-000016,DRV-00477,USR-01076,LOC-0039,LOC-0040,2024-11-26 17:12:24,2024-11-26 17:34:24,15.14,22,23322.02,1.0,23322.02,Completed,GoPay,Success
17,TRP-000017,DRV-00440,USR-00164,LOC-0052,LOC-0046,2024-08-01 04:27:32,2024-08-01 05:50:32,34.94,83,86449.05,2.0,172898.1,Completed,GoPay,Failed
18,TRP-000018,DRV-00036,USR-00194,LOC-0038,LOC-0001,2024-02-11 11:42:56,2024-02-11 12:53:56,2.66,71,123330.08,1.0,123330.08,Completed,GoPay,Success
19,TRP-000019,DRV-00323,USR-01664,LOC-0002,LOC-0032,2024-03-25 19:48:07,2024-03-25 21:31:07,28.62,103,33711.74,2.0,67423.48,Cancelled,Credit Card,Success
20,TRP-000020,DRV-00122,USR-00122,LOC-0028,LOC-0014,2024-08-26 03:58:42,2024-08-26 05:33:42,16.15,95,125503.55,1.0,125503.55,Completed,Credit Card,Success
21,TRP-000021,DRV-00001,USR-00235,LOC-0026,LOC-0039,2024-03-15 05:47:10,2024-03-15 07:32:10,10.86,105,27946.75,1.0,27946.75,Completed,GoPay,Pending
22,TRP-000022,DRV-00495,USR-00447,LOC-0018,LOC-0008,2024-08-11 03:25:28,2024-08-11 03:35:28,26.42,10,110413.11,1.75,193222.94,Completed,GoPay,Success
23,TRP-000023,DRV-00266,USR-01394,LOC-0018,LOC-0030,2024-09-14 12:43:26,2024-09-14 13:18:26,34.45,35,30428.17,1.0,30428.17,Completed,Credit Card,Failed
24,TRP-000024,DRV-00401,USR-01821,LOC-0054,LOC-0004,2024-10-17 14:53:17,2024-10-17 16:01:17,21.45,68,,1.0,,Completed,Cash,Success
25,TRP-000025,DRV-00231,USR-00412,LOC-0045,LOC-0057,2024-04-17 00:55:23,2024-04-17 02:52:23,19.6,117,64683.29,1.0,64683.29,Completed,GoPay,Success
26,TRP-000026,DRV-00370,USR-00760,LOC-0034,LOC-0017,2024-09-24 22:24:26,2024-09-24 22:46:26,11.6,22,102161.13,1.5,153241.7,Completed,GoPay,Success
27,TRP-000027,DRV-00439,USR-01257,LOC-0037,LOC-0053,2024-12-25 00:19:06,2024-12-25 01:36:06,36.95,-10,97852.71,2.5,244631.78,Completed,GoPay,Success
28,TRP-000028,DRV-00218,USR-00515,LOC-0045,LOC-0053,2024-04-15 14:40:44,2024-04-15 16:05:44,8.78,85,66273.51,1.75,115978.64,Completed,Credit Card,Success
29,TRP-000029,DRV-00273,USR-00683,LOC-0032,LOC-0015,2024-06-16 07:33:47,2024-06-16 08:54:47,1.64,81,20677.56,1.25,25846.95,Completed,Cash,Failed
30,TRP-000030,DRV-00070,USR-00453,LOC-0048,LOC-0014,2024-03-25 20:17:32,2024-03-25 21:14:32,4.78,57,45903.92,2.0,91807.84,Completed,Cash,Success
31,TRP-000031,DRV-00307,USR-01100,LOC-0048,LOC-0041,2024-12-30 09:19:34,2024-12-30 11:06:34,10.41,107,76641.75,1.0,76641.75,Completed,Credit Card,Success
32,TRP-000032,DRV-00118,USR-01895,LOC-0037,LOC-0018,2024-01-01 00:51:57,2024-01-01 01:55:57,28.16,64,140851.68,1.5,211277.52,Completed,GoPay,Success
33,TRP-000033,DRV-00376,USR-00368,LOC-0013,LOC-0054,2024-03-22 04:40:56,2024-03-22 05:15:56,6.17,35,74519.72,1.25,93149.65,Completed,GoPay,Success
34,TRP-000034,DRV-00353,USR-00130,LOC-0054,LOC-0011,2024-07-02 23:29:02,2024-07-03 00:27:02,1.3,58,62434.99,1.0,62434.99,Completed,Cash,Success
35,TRP-000035,DRV-00267,USR-01462,LOC-0036,LOC-0045,2024-07-25 04:01:40,2024-07-25 05:26:40,36.06,85,138399.3,2.5,345998.25,Cancelled,GoPay,Success
36,TRP-000036,DRV-00162,USR-00533,LOC-0039,LOC-0014,2024-12-25 16:55:54,2024-12-25 18:38:54,32.13,103,126987.32,1.0,126987.32,Completed,Credit Card,Success
37,TRP-000037,DRV-00439,USR-00232,LOC-0036,LOC-0031,2024-06-02 06:00:15,2024-06-02 07:33:15,23.65,93,113265.72,1.0,113265.72,Completed,Credit Card,Failed
38,TRP-000038,DRV-00043,USR-00695,LOC-0034,LOC-0036,2024-02-06 07:49:25,2024-02-06 08:32:25,11.18,43,86847.04,1.75,151982.32,Completed,Cash,Failed
39,TRP-000039,DRV-00370,USR-01299,LOC-0035,LOC-0006,2024-10-13 12:14:43,2024-10-13 14:01:43,,107,,1.0,,Cancelled,GoPay,Success
40,TRP-000040,DRV-00388,USR-01521,LOC-0052,LOC-0041,2024-08-15 12:25:46,2024-08-15 12:45:46,4.22,20,36659.08,2.0,73318.16,Completed,Credit Card,Success
41,TRP-000041,DRV-00059,USR-01628,LOC-0033,LOC-0043,2024-04-22 13:42:27,2024-04-22 15:28:27,12.39,106,32298.42,1.0,32298.42,Completed,Credit Card,Success
42,TRP-000042,DRV-00404,USR-00087,LOC-0021,LOC-0026,2024-07-01 02:13:33,2024-07-01 02:28:33,20.78,15,75423.79,1.0,75423.79,Completed,Credit Card,Success
43,TRP-000043,DRV-00289,USR-00252,LOC-0016,LOC-0028,2024-02-27 23:19:32,2024-02-28 01:11:32,11.51,112,41898.27,1.0,41898.27,Completed,Cash,Success
44,TRP-000044,DRV-00124,USR-00841,LOC-0039,LOC-0056,2024-08-26 12:50:27,2024-08-26 14:11:27,18.94,81,59710.79,2.5,149276.98,Completed,Credit Card,Pending
45,TRP-000045,DRV-00130,USR-01710,LOC-0034,LOC-0008,2024-12-11 17:18:42,2024-12-11 18:39:42,36.69,81,113390.87,1.0,113390.87,Completed,Credit Card,Success
46,TRP-000046,DRV-00033,USR-00819,LOC-0018,LOC-0016,2024-03-01 03:24:30,2024-03-01 05:00:30,3.56,96,107530.24,1.25,134412.8,Completed,GoPay,Success
47,TRP-000047,DRV-00067,USR-00755,LOC-0047,LOC-0048,2024-11-24 04:20:23,2024-11-24 05:37:23,17.8,77,24573.0,2.5,61432.5,Completed,Cash,Failed
48,TRP-000048,DRV-00444,USR-01789,LOC-0003,LOC-0013,2024-06-05 14:50:03,2024-06-05 16:40:03,9.93,110,104605.13,1.0,104605.13,Completed,Cash,Success
49,TRP-000049,DRV-00263,USR-01180,LOC-0053,LOC-0034,2024-07-15 04:57:27,2024-07-15 05:09:27,31.11,12,112309.21,1.0,112309.21,Completed,Credit Card,Success
50,TRP-000050,DRV-00175,USR-00077,LOC-0019,LOC-0045,2024-09-05 04:40:09,2024-09-05 04:57:09,39.73,17,50792.67,1.0,50792.67,Completed,Cash,Success
51,TRP-000051,DRV-00047,USR-00194,LOC-0046,LOC-0039,2024-06-25 14:31:13,2024-06-25 15:48:13,19.19,77,133003.51,1.0,133003.51,Completed,GoPay,Success
52,TRP-000051,DRV-00047,USR-00194,LOC-0046,LOC-0039,2024-06-25 14:31:13,2024-06-25 15:48:13,19.19,77,133003.51,1.0,133003.51,Completed,GoPay,Success
53,TRP-000052,DRV-00209,USR-01751,LOC-0003,LOC-0048,2024-01-30 20:12:23,2024-01-30 20:32:23,36.81,20,95662.52,1.0,95662.52,Completed,Cash,Pending
54,TRP-000052,DRV-00209,USR-01751,LOC-0003,LOC-0048,2024-01-30 20:12:23,2024-01-30 20:32:23,36.81,20,95662.52,1.0,95662.52,Completed,Cash,Pending
55,TRP-000053,DRV-00467,USR-00379,LOC-0014,LOC-0054,2024-01-11 07:38:36,2024-01-11 09:31:36,2.15,113,,1.5,,Completed,GoPay,Success
56,TRP-000054,DRV-00422,USR-01221,LOC-0008,LOC-0048,2024-12-18 14:35:05,2024-12-18 15:38:05,36.75,63,133519.38,1.25,166899.23,Completed,Credit Card,Success
57,TRP-000055,DRV-00147,USR-00223,LOC-0035,LOC-0019,2024-03-28 17:01:10,2024-03-28 17:40:10,16.48,39,76828.56,1.75,134449.98,Completed,Cash,Success
58,TRP-000056,DRV-00173,USR-00857,LOC-0005,LOC-0007,2024-04-09 02:08:43,2024-04-09 02:22:43,28.12,14,130018.82,1.0,130018.82,Completed,Cash,Pending
59,TRP-000057,DRV-00495,USR-01620,LOC-0048,LOC-0003,2024-07-20 16:35:33,2024-07-20 18:13:33,4.74,98,114488.01,1.0,114488.01,Cancelled,GoPay,Pending
60,TRP-000058,DRV-00391,USR-00056,LOC-0025,LOC-0010,2024-09-22 23:48:22,2024-09-23 00:56:22,3.83,68,141643.29,1.0,141643.29,Failed,GoPay,Success
61,TRP-000059,DRV-00249,USR-00870,LOC-0049,LOC-0036,2024-09-07 03:55:18,2024-09-07 04:23:18,25.23,28,147748.78,1.75,258560.36,Completed,GoPay,Success
62,TRP-000060,DRV-00442,USR-01367,LOC-0036,LOC-0049,2024-12-13 02:07:10,2024-12-13 03:24:10,6.32,-10,16456.88,1.0,16456.88,Completed,Credit Card,Success
63,TRP-000061,DRV-00034,USR-01646,LOC-0019,LOC-0020,2024-08-10 22:52:59,2024-08-10 23:25:59,37.46,33,110051.39,1.0,110051.39,Completed,GoPay,Success
64,TRP-000062,DRV-00337,USR-00608,LOC-0054,LOC-0036,2024-09-06 05:32:13,2024-09-06 06:59:13,30.62,87,114442.66,1.25,143053.33,Completed,Cash,Success
65,TRP-000063,DRV-00290,USR-00211,LOC-0019,LOC-0002,2024-10-26 22:21:11,2024-10-26 23:35:11,35.61,74,89727.41,1.5,134591.11,Cancelled,GoPay,Failed
66,TRP-000064,DRV-00289,USR-01147,LOC-0004,LOC-0028,2024-08-29 15:29:27,2024-08-29 17:08:27,1.9,99,88107.2,1.0,88107.2,Completed,Cash,Success
67,TRP-000065,DRV-00267,USR-01243,LOC-0015,LOC-0022,2024-09-17 06:13:07,2024-09-17 07:47:07,24.49,94,,3.5,,Failed,GoPay,Success
68,TRP-000066,DRV-00061,USR-00292,LOC-0045,LOC-0037,2024-08-24 21:40:38,2024-08-24 22:45:38,14.31,65,86895.31,1.75,152066.79,Completed,Credit Card,Success
69,TRP-000067,DRV-00323,USR-00150,LOC-0054,LOC-0014,2024-01-06 19:11:11,2024-01-06 20:32:11,19.8,81,69633.53,1.25,87041.91,Completed,GoPay,Success
70,TRP-000068,DRV-00205,USR-01109,LOC-0010,LOC-0017,2024-08-16 04:56:00,2024-08-16 06:47:00,31.15,111,0.0,1.0,0.0,Cancelled,GoPay,Success
71,TRP-000069,DRV-00200,USR-00129,LOC-0004,LOC-0009,2024-11-19 18:44:34,2024-11-19 20:31:34,16.1,107,38288.21,1.0,38288.21,Completed,Credit Card,Success
72,TRP-000070,DRV-00151,USR-01290,LOC-0039,LOC-0005,2024-11-29 03:37:07,2024-11-29 05:21:07,13.53,104,73439.17,1.5,110158.76,Cancelled,Credit Card,Success
73,TRP-000071,DRV-00009,USR-01835,LOC-0032,LOC-0029,2024-06-20 22:12:57,2024-06-20 23:38:57,11.98,86,32723.72,0.5,49085.58,Completed,GoPay,Success
74,TRP-000072,DRV-00321,USR-01692,LOC-0031,LOC-0025,2024-12-24 11:49:22,2024-12-24 12:05:22,39.3,16,89158.99,2.0,178317.98,Completed,Cash,Success
75,TRP-000073,DRV-00068,USR-01955,LOC-0021,LOC-0024,2024-10-04 15:31:37,2024-10-04 16:02:37,8.9,31,138214.71,1.0,138214.71,Completed,GoPay,Success
76,TRP-000074,DRV-00113,USR-01537,LOC-0028,LOC-0016,2024-11-16 11:07:02,2024-11-16 12:22:02,39.2,75,54485.83,1.0,54485.83,Completed,Cash,Success
77,TRP-000075,DRV-00087,USR-01771,LOC-0038,LOC-0021,2024-01-19 13:23:39,2024-01-19 13:51:39,34.7,28,51162.31,1.0,51162.31,Cancelled,Cash,Success
78,TRP-000076,DRV-00073,USR-01854,LOC-0030,LOC-0049,2024-11-03 04:03:55,2024-11-03 05:16:55,27.02,73,33844.55,1.0,33844.55,Completed,GoPay,Success
79,TRP-000077,DRV-00499,USR-00860,LOC-0011,LOC-0038,2024-07-31 02:15:16,2024-07-31 03:08:16,29.65,53,78782.82,1.5,118174.23,Completed,GoPay,Success
80,TRP-000078,DRV-00164,USR-00837,LOC-0002,LOC-0023,2024-03-29 21:34:47,2024-03-29 22:57:47,30.26,83,144367.43,1.0,144367.43,Completed,Credit Card,Success
81,TRP-000079,DRV-00255,USR-00484,LOC-0026,LOC-0035,2024-10-29 21:03:47,2024-10-29 22:56:47,6.72,113,120936.56,1.0,120936.56,Completed,Credit Card,Success
82,TRP-000080,DRV-00448,USR-01351,LOC-0024,LOC-0001,2024-10-28 20:50:09,2024-10-28 21:42:09,22.02,52,72619.53,1.0,72619.53,Completed,Credit Card,Success
83,TRP-000081,DRV-00234,USR-01547,LOC-0039,LOC-0003,2024-08-04 12:31:22,2024-08-04 13:56:22,21.84,85,,1.0,,Completed,Credit Card,Success
84,TRP-000081,DRV-00234,USR-01547,LOC-0039,LOC-0003,2024-08-04 12:31:22,2024-08-04 13:56:22,21.84,85,,1.0,,Completed,Credit Card,Success
85,TRP-000082,DRV-00310,USR-01417,LOC-0047,LOC-0015,2024-09-14 05:12:35,2024-09-14 07:09:35,22.15,117,146501.31,1.25,183126.64,Completed,Credit Card,Pending
86,TRP-000083,DRV-00044,USR-00581,LOC-0023,LOC-0030,2024-08-31 03:21:23,2024-08-31 04:40:23,20.79,79,144740.2,1.5,217110.3,Completed,Credit Card,Success
87,TRP-000084,DRV-00337,USR-00383,LOC-0002,LOC-0041,2024-06-24 13:00:18,2024-06-24 13:45:18,15.84,45,20918.86,1.25,26148.58,Completed,Credit Card,Pending
88,TRP-000085,DRV-00368,USR-01732,LOC-0010,LOC-0055,2024-11-19 22:15:52,2024-11-19 22:41:52,13.48,26,,1.0,,Completed,Credit Card,Success
89,TRP-000086,DRV-00453,USR-00062,LOC-0043,LOC-0057,2024-05-19 22:46:23,2024-05-20 00:32:23,39.78,106,63331.49,1.25,79164.36,Completed,Credit Card,Success
90,TRP-000087,DRV-00094,USR-01914,LOC-0034,LOC-0026,2024-06-27 21:54:10,2024-06-27 23:19:10,16.37,85,29649.58,1.75,51886.76,Completed,GoPay,Success
91,TRP-000088,DRV-00444,USR-01927,LOC-0013,LOC-0036,2024-12-16 02:45:20,2024-12-16 04:08:20,37.45,83,57626.05,1.0,57626.05,Completed,Credit Card,Failed
92,TRP-000089,DRV-00496,USR-01179,LOC-0011,LOC-0027,2024-08-16 19:02:09,2024-08-16 19:40:09,34.87,38,41117.86,1.0,41117.86,failed,Cash,Success
93,TRP-000090,DRV-00490,USR-00792,LOC-0055,LOC-0036,2024-05-05 23:24:24,2024-05-05 23:36:24,24.79,12,115838.31,1.5,173757.46,Completed,Cash,Success
94,TRP-000091,DRV-00058,USR-01872,LOC-0031,LOC-0040,2024-07-07 01:31:43,2024-07-07 02:02:43,2.83,31,83015.96,1.5,124523.94,Completed,Cash,Success
95,TRP-000092,DRV-00104,USR-00220,LOC-0014,LOC-0048,2024-03-08 09:13:38,2024-03-08 10:09:38,25.16,0,40025.46,1.0,40025.46,Completed,Credit Card,Success
96,TRP-000093,DRV-00330,USR-01644,LOC-0007,LOC-0020,2024-10-25 22:40:38,2024-10-26 00:31:38,4.4,111,118686.72,1.0,118686.72,Completed,Credit Card,Pending
97,TRP-000094,DRV-00140,USR-00740,LOC-0009,LOC-0017,2024-11-24 01:11:42,2024-11-24 02:26:42,21.54,75,129903.48,1.0,129903.48,Completed,GoPay,Pending
98,TRP-000095,DRV-00213,USR-01623,LOC-0049,LOC-0029,2024-07-28 07:03:03,2024-07-28 08:09:03,11.9,66,130762.98,1.0,130762.98,Completed,Credit Card,Success
99,TRP-000096,DRV-00163,USR-01614,LOC-0046,LOC-0055,2024-08-26 07:36:44,2024-08-26 08:22:44,7.93,46,28045.56,2.0,56091.12,Cancelled,GoPay,Success
100,TRP-000097,DRV-00191,USR-01310,LOC-0015,LOC-0039,2024-09-08 09:38:47,2024-09-08 10:17:47,3.84,39,0.0,1.25,0.0,Cancelled,GoPay,Success
101,TRP-000098,DRV-00285,USR-01512,LOC-0012,LOC-0045,2024-02-08 23:30:37,2024-02-09 00:16:37,12.83,46,129157.1,1.0,129157.1,Completed,Credit Card,Success
102,TRP-000099,DRV-00404,USR-00904,LOC-0047,LOC-0019,2024-09-06 18:33:05,2024-09-06 19:35:05,6.84,62,10891.15,1.0,10891.15,Completed,Credit Card,Success
103,TRP-000100,DRV-00414,USR-01672,LOC-0007,LOC-0049,2024-02-21 22:24:52,2024-02-21 22:58:52,33.62,-10,27681.36,1.25,34601.7,Cancelled,Credit Card,Success
104,TRP-000101,DRV-00105,USR-01470,LOC-0036,LOC-0030,2024-05-13 23:41:57,2024-05-13 23:54:57,21.77,13,117370.9,1.0,117370.9,Completed,Credit Card,Success
105,TRP-000102,DRV-00248,USR-00278,LOC-0025,LOC-0010,2024-12-01 01:17:54,2024-12-01 02:40:54,37.74,83,55560.79,1.25,69450.99,Completed,Credit Card,Success
106,TRP-000103,DRV-00492,USR-00248,LOC-0042,LOC-0031,2024-03-09 04:14:06,2024-03-09 04:32:06,18.83,18,40109.59,1.0,40109.59,Completed,GoPay,Failed
107,TRP-000104,DRV-00291,USR-01863,LOC-0040,LOC-0014,2024-10-14 18:34:12,2024-10-14 19:36:12,35.38,62,143747.88,1.5,215621.82,Completed,Credit Card,Failed
108,TRP-000105,DRV-00494,USR-00501,LOC-0051,LOC-0037,2024-11-28 07:41:33,2024-11-28 09:00:33,8.92,79,87832.18,1.0,87832.18,Completed,Cash,Success
109,TRP-000105,DRV-00494,USR-00501,LOC-0051,LOC-0037,2024-11-28 07:41:33,2024-11-28 09:00:33,8.92,79,87832.18,1.0,87832.18,Completed,Cash,Success
110,TRP-000106,DRV-00171,USR-00535,LOC-0056,LOC-0017,2024-08-12 07:42:19,2024-08-12 09:35:19,38.17,113,0.0,1.5,0.0,Completed,Cash,Success
111,TRP-000107,DRV-00342,USR-01846,LOC-0039,LOC-0030,2024-10-22 01:20:33,2024-10-22 02:37:33,36.52,77,110627.05,1.0,110627.05,Completed,Cash,Success
112,TRP-000108,DRV-00069,USR-01625,LOC-0024,LOC-0027,2024-10-10 04:39:55,2024-10-10 06:30:55,29.32,111,17600.69,1.0,17600.69,Completed,GoPay,Success
113,TRP-000109,DRV-00179,USR-01401,LOC-0014,LOC-0046,2024-10-14 09:07:26,2024-10-14 10:49:26,28.49,102,62107.0,1.0,62107.0,Completed,Credit Card,Success
114,TRP-000109,DRV-00179,USR-01401,LOC-0014,LOC-0046,2024-10-14 09:07:26,2024-10-14 10:49:26,28.49,102,62107.0,1.0,62107.0,Completed,Credit Card,Success
115,TRP-000110,DRV-00155,USR-00484,LOC-0025,LOC-0043,2024-02-01 20:23:14,2024-02-01 22:17:14,23.33,114,121194.82,1.0,121194.82,COMPLETED,Cash,Success
116,TRP-000111,DRV-00086,USR-01596,LOC-0047,LOC-0038,2024-10-17 23:46:47,2024-10-18 00:40:47,26.9,54,22946.51,1.0,22946.51,Completed,Credit Card,Success
117,TRP-000112,DRV-00256,USR-00191,LOC-0039,LOC-0008,2024-02-26 09:12:48,2024-02-26 10:12:48,2.89,60,31130.44,1.0,31130.44,Completed,GoPay,Failed
118,TRP-000113,DRV-00345,USR-00183,LOC-0008,LOC-0009,2024-05-28 13:55:23,2024-05-28 14:56:23,5.08,61,137859.94,1.0,137859.94,Completed,GoPay,Success
119,TRP-000114,DRV-00374,USR-00439,LOC-0003,LOC-0020,2024-08-10 02:20:37,2024-08-10 02:54:37,17.83,34,57223.85,1.0,57223.85,Completed,Cash,Success
120,TRP-000115,DRV-00012,USR-01618,LOC-0036,LOC-0045,2024-06-02 07:39:02,2024-06-02 09:09:02,21.47,90,139070.06,1.75,243372.6,Completed,Cash,Pending
121,TRP-000116,DRV-00496,USR-00717,LOC-0047,LOC-0025,2024-11-22 02:04:06,2024-11-22 03:55:06,3.57,111,113895.69,1.25,142369.61,Cancelled,GoPay,Success
122,TRP-000117,DRV-00233,USR-00243,LOC-0010,LOC-0019,2024-03-15 01:58:43,2024-03-15 03:02:43,,64,86957.3,1.0,86957.3,Completed,GoPay,Success
123,TRP-000118,DRV-00217,USR-00253,LOC-0024,LOC-0041,2024-03-03 21:31:09,2024-03-03 22:42:09,10.0,71,79279.99,1.0,79279.99,Completed,GoPay,Success
124,TRP-000119,DRV-00272,USR-01332,LOC-0007,LOC-0023,2024-05-04 01:21:05,2024-05-04 02:04:05,38.16,43,32203.78,1.75,56356.61,Completed,GoPay,Success
125,TRP-000120,DRV-00255,USR-01156,LOC-0050,LOC-0041,2024-06-24 08:02:20,2024-06-24 08:59:20,17.5,57,120157.54,1.25,150196.92,Completed,Credit Card,Success
126,TRP-000121,DRV-00429,USR-01660,LOC-0017,LOC-0031,2024-06-17 14:53:46,2024-06-17 15:03:46,5.31,10,87691.8,1.5,131537.7,Completed,Credit Card,Success
127,TRP-000122,DRV-00483,USR-00185,LOC-0032,LOC-0011,2024-06-13 14:09:05,2024-06-13 15:25:05,2.66,76,11838.06,1.0,11838.06,Completed,Cash,Success
128,TRP-000123,DRV-00022,USR-00837,LOC-0029,LOC-0007,2024-04-05 17:34:28,2024-04-05 17:50:28,19.02,16,42086.46,1.0,42086.46,Completed,Cash,Success
129,TRP-000123,DRV-00022,USR-00837,LOC-0029,LOC-0007,2024-04-05 17:34:28,2024-04-05 17:50:28,19.02,16,42086.46,1.0,42086.46,Completed,Cash,Success
130,TRP-000124,DRV-00290,USR-00892,LOC-0012,LOC-0024,2024-07-25 11:43:32,2024-07-25 13:43:32,21.6,120,59746.69,1.0,59746.69,Completed,Cash,Success
131,TRP-000125,DRV-00081,USR-01685,LOC-0052,LOC-0029,2024-12-24 01:22:34,2024-12-24 02:04:34,33.69,42,134549.11,1.0,134549.11,Completed,Cash,Success
132,TRP-000126,DRV-00218,USR-00206,LOC-0020,LOC-0023,2024-08-31 10:33:01,2024-08-31 11:58:01,1.97,85,0.0,1.0,0.0,Completed,Cash,Success
133,TRP-000127,DRV-00035,USR-01681,LOC-0046,LOC-0037,2024-10-21 02:25:42,2024-10-21 04:04:42,34.46,99,98350.44,1.0,98350.44,Completed,GoPay,Success
134,TRP-000128,DRV-00332,USR-01701,LOC-0039,LOC-0054,2024-07-11 23:29:52,2024-07-12 00:29:52,31.55,60,84086.31,1.0,84086.31,Completed,GoPay,Success
135,TRP-000129,DRV-00196,USR-01957,LOC-0007,LOC-0011,2024-03-24 23:54:32,2024-03-25 01:06:32,12.18,72,16874.58,1.0,16874.58,Completed,GoPay,Success
136,TRP-000130,DRV-00292,USR-01868,LOC-0008,LOC-0041,2024-06-22 05:39:17,2024-06-22 07:32:17,1.57,113,109608.16,2.0,219216.32,Completed,Cash,Success
137,TRP-000131,DRV-00055,USR-00183,LOC-0027,LOC-0004,2024-11-22 14:56:38,2024-11-22 15:26:38,26.77,30,102296.94,1.25,127871.18,Completed,Cash,Success
138,TRP-000132,DRV-00293,USR-01051,LOC-0039,LOC-0033,2024-12-09 16:20:27,2024-12-09 18:09:27,23.8,109,136116.54,1.75,238203.95,Completed,Cash,Pending
139,TRP-000133,DRV-00436,USR-00145,LOC-0035,LOC-0026,2024-12-13 06:12:31,2024-12-13 06:55:31,12.86,43,29353.69,1.5,44030.53,Completed,Cash,Success
140,TRP-000134,DRV-00032,USR-01663,LOC-0002,LOC-0018,2024-07-28 18:03:00,2024-07-28 18:18:00,17.33,15,54827.74,1.25,68534.68,Cancelled,GoPay,Success
141,TRP-000135,DRV-00457,USR-01024,LOC-0044,LOC-0054,2024-08-17 07:12:21,2024-08-17 07:56:21,31.87,44,93986.24,1.0,93986.24,Cancelled,GoPay,Success
142,TRP-000136,DRV-00302,USR-00727,LOC-0015,LOC-0047,2024-02-15 19:02:16,2024-02-15 19:45:16,36.28,43,22381.18,1.25,27976.47,Completed,Cash,Success
143,TRP-000137,DRV-00171,USR-01481,LOC-0025,LOC-0023,2024-02-11 13:23:42,2024-02-11 15:12:42,37.31,109,91344.72,1.75,159853.26,Completed,Credit Card,Success
144,TRP-000138,DRV-00280,USR-00510,LOC-0047,LOC-0017,2024-12-29 08:01:07,2024-12-29 09:29:07,17.74,88,47190.26,1.0,47190.26,Completed,Cash,Success
145,TRP-000139,DRV-00209,USR-00564,LOC-0035,LOC-0036,2024-02-18 13:37:20,2024-02-18 13:47:20,20.6,10,90341.85,1.5,135512.78,Completed,Credit Card,Success
146,TRP-000140,DRV-00386,USR-01080,LOC-0029,LOC-0040,2024-08-11 14:22:52,2024-08-11 14:40:52,17.57,18,97253.47,1.0,97253.47,Completed,GoPay,Pending
